# 문제별 난이도 스냅샷 — 원본 자료에서 «유도할 수 없는» 값의 기록
#
# 형식: <AI Hub 문제 id>,<LOW|MEDIUM|HIGH>
#
# 왜 있나: 2026-09-07 에 원본 JSON 의 모든 필드를 DB 난이도와 대조했는데
#          어느 것도 설명하지 못했다 (최고 question_unit 86.4%, 단원 안의
#          분화는 어떤 필드로도 구분 불가). 사람이 손으로 정한 값이다.
#          유도는 못 해도 기록은 할 수 있으므로 여기 남긴다.
#
# 🔴 이 파일은 «규칙» 이 아니라 «기록» 이다. 새 학년 자료에는 해당 id 가 없어
#    DataLoader 의 기존 매핑으로 떨어지고, 그 건수는 적재 로그에 남는다.
#
# 근거: docs/research/difficulty-origin-2026-09-07.md
00041_37851,MEDIUM
00041_37867,MEDIUM
00041_38094,HIGH
00041_38131,HIGH
00041_38189,HIGH
00041_38233,HIGH
00041_38963,HIGH
00041_39409,MEDIUM
00041_39438,MEDIUM
00041_39442,MEDIUM
00041_39443,MEDIUM
00041_41177,LOW
00041_41180,LOW
00041_41481,LOW
00041_41484,LOW
00041_41488,LOW
00041_41489,LOW
00041_41501,LOW
00041_41512,LOW
00041_41532,LOW
00041_41536,LOW
00041_41553,LOW
00041_41568,LOW
00041_41586,LOW
00041_41610,LOW
00041_41613,LOW
00041_41616,LOW
00041_41625,LOW
00041_41636,LOW
00041_41644,LOW
00041_41647,LOW
00041_41651,LOW
00041_41652,LOW
00041_41661,LOW
00041_41663,LOW
00041_41666,LOW
00041_41669,LOW
00041_41670,LOW
00041_41692,LOW
00041_41697,LOW
00041_41698,LOW
00041_41706,LOW
00041_41714,LOW
00041_41775,MEDIUM
00041_41782,MEDIUM
00041_41786,MEDIUM
00041_41787,MEDIUM
00041_41824,MEDIUM
00041_41841,MEDIUM
00041_41843,MEDIUM
00041_41955,LOW
00041_41957,LOW
00041_41963,LOW
00041_41972,LOW
00041_41973,LOW
00041_41982,LOW
00041_41999,LOW
00041_42013,LOW
00041_42016,LOW
00041_42017,LOW
00041_42021,LOW
00041_42034,LOW
00041_42035,LOW
00041_42040,LOW
00041_42057,LOW
00041_42065,LOW
00041_42101,LOW
00041_42104,LOW
00041_42109,LOW
00041_42115,LOW
00041_42122,LOW
00041_42144,LOW
00041_42166,LOW
00041_42188,LOW
00041_42219,LOW
00041_42228,LOW
00041_42236,LOW
00041_42257,HIGH
00041_42272,LOW
00041_42299,LOW
00041_42301,LOW
00041_42308,LOW
00041_42329,LOW
00041_42359,LOW
00041_42360,LOW
00041_43790,HIGH
00041_43793,HIGH
00041_43995,MEDIUM
00041_44003,MEDIUM
00041_44014,MEDIUM
00041_44055,MEDIUM
00041_44297,MEDIUM
00041_44316,MEDIUM
00041_44319,MEDIUM
00041_44321,MEDIUM
00041_44383,HIGH
00041_45006,LOW
00041_45008,LOW
00041_45011,LOW
00041_45014,LOW
00041_45044,LOW
00041_45452,LOW
00041_45457,LOW
00041_45466,LOW
00041_45467,LOW
00041_45469,LOW
00041_45470,LOW
00041_45478,LOW
00041_45500,LOW
00041_45509,LOW
00041_45512,LOW
00041_45519,LOW
00041_45527,LOW
00041_45541,LOW
00041_45543,LOW
00041_45550,LOW
00041_45756,LOW
00041_45820,LOW
00041_45821,LOW
00041_45822,LOW
00041_45829,LOW
00041_45834,LOW
00041_45836,LOW
00041_45837,LOW
00041_45847,LOW
00041_45851,LOW
00041_45862,LOW
00041_45871,LOW
00041_45876,LOW
00041_45882,LOW
00041_45883,LOW
00041_45887,LOW
00041_45890,LOW
00041_45897,LOW
00041_45919,LOW
00041_45930,LOW
00041_45944,LOW
00041_45945,LOW
00041_45973,LOW
00041_45981,LOW
00041_46032,MEDIUM
00041_46077,MEDIUM
00041_46107,MEDIUM
00041_46114,MEDIUM
00041_59988,MEDIUM
00041_60016,MEDIUM
00041_60022,MEDIUM
00041_60023,MEDIUM
00041_60056,MEDIUM
00041_60059,MEDIUM
00041_60064,MEDIUM
00041_60066,MEDIUM
